#collected by Gudeta G. (from various sources)
a fourth	kurmaana, ruubi, tokko afraffa
Forms	unkaalee
formula	foormulaa
formula bar	kabala foormulaa
Forward	dabarsi
Forward	fuuldura
forward slash	haxaaroo duurataa
four-headed arrow	xiyya arfakuu
fraction	entaa
fractional numbers	lakkoofsa entaa
frame	goodayyaa
frame	goodayyaa
frameset	hirama goodayyaa
framework	goodayyaa bu'uuraa
free disk space	iddoo duwwaa baxxee
free memory	kuufannoo jiru
Free Stuff	waan tolaa
freeform	unka akka feetee
freeware	mosajjii tolaa
freeze	dhaabi
frequency	ammamtaa
frequently asked questions	gaafilee yeroo hedduu gaafataman (gyhg)
friction feed	iccimaan nyaaccisuu
friendly name	maqaa matayyaa
From	ﾅrraa
From File	faayiliirraa
From Left	bitaarraa
From text	barruurraa
From Top	gubbarraa
Front	fuuldura
front end	sagantaa asaanaa
FrontPage Server Extensions	kaadima fuula duraa dabalama
FTP	FTP
full bleed	fullaﾒaa
full page display	agarsissa fuula guutuu
Full screen	argii guutuu 
full screen editor	gulaalaa argii guutuu
full travel keyboard	furtuu gabatee deemsa guutuu
function	dalaga
function key	furtuu dalagaa
fuser wand	baqsituu halluu maxxansaa
gallery	kuusaa faayaa
game	tapha
Gap	addaan fageenya
gateway	karra
general	waliigala
Ghost	dimimmisa
gigabyte	giggabayitii
GIGO	fokkuun seenee fokkuun bahe (FSFB) 
global	hundataa
glossary	jibsoo
glossy finish	waraqaa cululuqaa
go	deemi
Go	deemi
Go Back	deebiﾒi
Go to	Garaﾅdeemi
Go to Folder	 ukaankatti deemi
Goto	gara... deemi
gradient	gargartoo
grammar	caasluga
Graph	caatoo
graphic	saxaatoo
graphic filter	gingilchaa saxaatoo
graphics	saxaatoo
grayed command	ajaja fajajaa
grayscale	saxxiillaa
grayscale monitor	torgii saxxiillaa
greater-than sign	mallattoo caalmaa
Green	magariisa
green PC	KM magariisa
greeting	nagaa
grid	tarsaa
gridlines	sarara tarsaa
group	gurmuu
group box	sanduuqa gurmuu
group by	ﾅtiin gurmeessi
group ID	W.E. gurmuu
group item	waan gurmuu
group level	sadarkaa gurmuu
grouping	gurmeessuu
Guest account	eenyummeessa keessummaa
GUID	GUID
guideline	qajeelcha
guides	qajeelcha
Hacker	hatuxxee
handheld	ganee
handle	qabannoo
Handler	waa'ilaa
handout	hirtaa
handwriting	barkuu
Hang Up	cufi
hanging indent	galumsa fannoo
hard disk	baxxee jabaa
hard disk space	iddoo baxxee jabaa
Hard hyphen	murtoo guddaa
Hard page break	fuula geeddartuu hindeebinee
Hard return	deebii
hardcopy	jalteenya
head arm	dubbarsituu
header	irraantoo
heading	mataduree
heading style	akkaataa mataduree
heap	guchoo
Height	hojjaa
Help	gargaarsa
Help and Support	gargarsafi deeggarsa
help button	qabduu gargaarsaa
Help File	fayilii gargaarsaa
help index	kasaa gargaarsaa
help topic	mataduree gargaarsa
Hertz (Hz)	Herzii (Hz)
Hexadecimal	kudhajaﾒee
Hibernate	riphi
hidden	dhokataa
Hidden code	lakkaddaa  dhokataa
Hidden file	faayilii dhokataa
hidden text	barruu dhokataa
Hide	dhoksi
Hide Detail	lixxaa dhoksi
Hide Details	liixxaa dhoksi
hierarchical director	galeeloo sadarkaawa
hierarchical selection	filmata sadarkaawa
High	olﾒaanaa 
High density	rukkina cimaa
high priority	dursa olﾒaanaa
high resolution	rukkaa gudaa
highlight	shoola
highlighted command	ajaja shoolame
highlighter	shoolaa
high-low lines	sarogadii
Hinting	qallisuu
Hiragana	Hiragana
history	seenaa
hit	imaltuu
hold	turi
hold down a button	qabduu gaqqabi
home	ka'umsa
home	mana
home directory	galeeloo manataa
HOME key	furtuu MANATAA
home page	fuula manata saphaphuu
home phone	bilbila manaa
Homepage	manata saphaphuu
horizontal	surdala
horizontal scroll	marfata sardalaa
horizontal scroll bar	kabala marfata sardalaa
host	afeertuu
host name	maqaa afeertuu
hotkey	ariingaa
hour format	dhangii sa'aatii
hourglass	bishaatii
HTML	HTML
HTML file	faayilii HTML
HTML tag	iyyaatoo HTML
HTTP	HTTP
Hue	halluutoo
hyperlink	geessituu 
hyperlink address	teesso geessituu  
hyphen	murfi
hyphenation	murfisa
I/O (input/output)	naqa/baha
I-beam pointer	qaree I-fakkaatu
ICM	ICM
icon	sajoo
ID	W.E.
identifier	addira(addaan + hiraa) 
ignore	tuffadhu
Ignore All	hunda tuffadhu
IIS	tajaajila odeeffannoo interneetii (TOI)
illegal character	arfii seralaa
IM-address	lakkaddaa interneetii biyyaa (LIB)
image	calaqqee
IME	IME
impact printer	maxxansaa rukuttaa
import	alaaguu(alaa + guuruu) 
Import Data	deetaa alaaguu
Import from	..rraa  alaagi
Importance	barbaachisummaa
Imported	alaagamee
In field	dirkee (dirree + keessa)
inactive	hadoodaa
inactive window	fooddaa hadoodaa
inbox	simergaa
incoming message	dhaamsa dhufu
incompatible	waldhabiinsa
incorrect	dogoggora
Increase Indent	galumsa dabalaa
indent	galumsa 
index	kasaa
indicator	waa himaa
infection	faallama
information	odeeffannoo
infrared	diimaachii
initialization file	faayilii kaﾒumsaa
initialize	kaasuu
Initials	qubduraa
ink	fakkaka
Ink Annotations	 ibsa fakkarkaa
inkjet printer	maxxansaa maddaa
inline	sarkee
inline image	calaqqee keessa
in-line image	calaqqee sarkee
in-place buttons	qabduu iddakee
input	naqa
input focus	iddoo naqaa
Insert	saagi
Insert Data	deetaa saagi
Insert File	faayilii saagi
INSERT key	furtuu SAAGII
insert mode	haalata saagii
insertion point	iddoo saaginsaa
install	ijaari
installation	ijaarsa
installation disk	baxxee ijaarsaa
Installation ID	lakkaddaa ijaarsaa
installer	ijaaraa
instance	miseensa
instruction	ajaja
instruction cycle	marsaa ajajaa
instruction set	kurfii ajajaa
integer	itergaa
integrity	amanama
interactive	haasoo
interface	walqunnama
Interleave factor	lakkoofsa murtibaa
internal hard disk	baxee jabaata keessaa
internal modem	moodemii keessaa
Internal Terminal Emulator (ITE)	mul'isa buufata keessaa(MBK)
International characters	arfii addunyaa
Internationalization	addunyeessuu
Internet	interneetii
Internet access provider	laattuu gahiinsa Interneeti (LGI)
Internet account	eenyummeessa interneetii
Internet Call	bilbila interneetii
Internet Explorer	aloolaa interneetii 
Internet service provider	laattuu tajajila interneetii
Internet site	iddoola interneetii
interrupt	gufii
Interrupt signal	asattoo gufii
intranet	interneetii qe'ee
invalid	fashala
invert	garagalchi
invisible	mul'atala
IP	aaloo interneetii (AI) 
IP address	teessoo AI(aaloo interneeii)
ISP	LTI
Italic	mirgada
Item	maalimaa
iteration	deddeebinsa
jagged line	sarsaka
jammed	hudhame
Java	Jaavaa
Job	hojii
Job control	toﾒannaa hojii
job queue	hiriira hojii
Job Title	maqaa hojii
join	walqaba
journal	kitaabbee
journal entry	galmee kitaabbee
joystick	hunda caancalaa
JPEG format	dhangii JPEG
jump	utaali
jumper	utaalchisaa
Junk Mail	dhaamsa gatoo 
justification	qixxeessa
Justify	qixeessi
Katakana	katakanaa
KB	kuuda
KB	KB 
keep	kaaﾒi
kernel	killata
kerning	rukkina
kerning table	gabatee rukkinaa
Key	furtuu
Key	furtuu
key combination	idaatii furtuu
Keyboard	gabatee cuqoo
keyboard layout	teessuma gabatee cuqoo
Keyboard logger	loogessaa cuqoo
keypad	cuqoo lakkoofsaa
keystroke	furtuu rukutaa
keyword	jefuraa
keyword search	barbaacha jefuraa
kill	dhaabi
Label	asxaa
LAN (Local Area Network)	cimdaa bal'ina qe'ee (cbq)
landing zone	iddoo qubsummaa
Landscape	dalgeessa
language	afaan 
Laptop	koyaa
Large Icon	sajoo guddaa
laser printer	maxxansa leezerii
Last Modified	jijjiirama maayyii
Last Name	maqaa akaakayyuu
launch	jalqabi
Layer	baqqaana
layout	teessuma
layout table	gabatee teesumaa
leader	qajeelchaa
leading	boﾒoo
Left	bitaa
Left Arrow	xiyya bitaa
left justification	qixxeenya bitaa
left mouse button	qabduu hantuuttee bitaa 
left-to-right	bitaa- mirga
legacy	kennata
legend	waayoo
Legend key	furtuu waayoo
Length	dheerina
less	xiqqaa 
less-than sign	mallattoo xiqqeenyaa
level	sadarkaa
library	mana kitaabaa
library	kuusaa sagantaa
license agreement	irbuu hayyamaa
license certificate	irbuu hayyamaa 
light pen	kobbee salphaa
line	sarara
line break	cita sararaa 
line callout	balbaltoo sarara 
line chart	taattoo sararaa 
Line color	halluu sararaa 
line feed	gaalchaa sararaa
line spacing	iddina sararaa
line style	akkaataa sararaa
Line up Icons	sajoo tarreessuu
Line Width	yabbina sararaa
line wrap	maraa sararaa
Linear	sorooroo
link	geessituu
link bar	kabala kornyoo
link count	lakkoofsa kornyoo
Link to Content	qabiyyeetti kornyeessi
linked object	wanta koronyate
linked table	gabatee koronyate
linker	koronyaa
LIS	LIS
list	tarree
list box	sanduuqa tarree
list separator	footuu tarree
load	feﾒi
local customs	maamila naannoo
local network	cimdaa qe'ee
locale	gitoo biyyaa
localization	biyyoomsuu
location	iddoo
lock	cufi
lock	cufaa
locked file	faayilii iggitame
log	dilba
log file	faayilii dilba
Log Off	baﾒi
log off from the network	cimdaa keessa baﾒi
log on	seeni
log on to the network	cimdaa seeni
logarithm	logaarizimii
logging	dilbeessuu
logical	yaayaa
Logical Interchange Format (LIF)	dhangii jijjiirraa yaayaa(DhJY)
login	seeni
login directory	 galeeloo seensaa
login name	maqaa seensaa
login script	barruu seensaa
login security	iggita seensaa
logo	asxaa
look in	targoo
look up	barbaadi
loop	marsaa
loudspeaker	qaaqiyyaa
low memory	kufannoo xiqqaa 
lowercase	qubee xixiqqaa
Lum	luumii
macro	maakroo
macro virus	qinqaanii maakiroo
Magnetic disk	baxxee loobilaa
Magnetic medium	meeshaa loobilaa
Magnifier	guddeessaa
Mail	ergannoo
Mail bombing	rooba ergaa
mail merge	makiinsa ergannoo
Mail Message	dhaamsa ergannoo
Mail Options	filmaata ergannoo
Mail package	qarqaba ergaa
mail recipient	fudhataa ergannoo
mail server	kaadimaa dhaamsaa
mail system	sirna ergannoo
mailbox	sanduuqa ergannoo
mailing label	maqeessa ergannoo
mailing list	tarree ergannoo
main document	galmee guddaa
major gridlines	sarara tassaa buraalaa
Male connector	kornyoo diramtuu
Manage	taliiguu
Manage Lists right	mirga tarreelee taliigaa
Manager	taliigaa
Manual	hujeeka
manual feed	soorata hujeekaa
manual line break	kutaa sarara hujeekaa
manual link	geessituu hujeekaa
manual page break	kutaa fuula hujeekaa
MAPI	MAPI
margin	mudana
Mark	mallattoo
Mark as Read	akka dubbifametti mallattoo itti godhi
Mark as Unread	akka hindubbifamnetti mallattoo itti godhi
marker	malkata
markup	jijqeeqata (jijjiiri qeeqaafi tarreeffama)
marquee	barruu deemtuu
mask	haguuggee
mask	haguuguu
master	hundataa
master document	galmee hundataa
master page	 fuula hundataa
master record	kuusaa hundataa
match	firoomsi
match	walsimaa
match case	walsima qubee
matrix	tarreentaa
matte	mattee
Max	olaa
maximize	oleessi
Maximize button	qabduu oleessii
maximized window	fooddaa oleeffamaa
MB	MB
measure	safari
measurement	safara
measurement	safaruu
Mechanical mouse	hantuuttee harkaansochee
Media	meeshaalee sabqunnamtii
medium	giddugaleessa
Meeting Request	gaafii walga'ii
Members	miseensota
memo	yaadannoo
memory	kuufannoo
menu	baafata
menu bar	kabala baafataa
menu button	qabduu baafataa
menu item	qabiyyeee baafataa
menu name	maqaa baafataa
menu title	matduree baafataa
merge	maki
merge field	dirree makiinsaa
Merge to	...itti maki
Message	dhaamsa
message box	sanduuqa ergaa
message catalog	galalee dhaamsaa
Message Class	sadarkaa dhaamsaa
message header	irraantoo dhaamsaa
messaging	dhamsergaa
metafile	galsarmee (gaalmee sararaan uumame)
method	toftaa
Microcomputer	kompiitara xiqqaa
Microphone	qaaqiyyee
microprocessor	maayikroprooseser
Microsoft Access database	kuusdeetaa akseesii maayikroosoftii
Microsoft Excel	ekseelii maayikroosoftii
Microsoft Exchange	jijjiirraa maaykirosoofti 
Microsoft Internet Assistant	gargaarsa maaykirosoofti interneetii
Microsoft Mail	ergaa maaykrosooftii
Microsoft Mouse	hantuutee maaykirosooftii
Microsoft Office Activation Wizard	Maayikiroosoofti Ofiis  Aktiveeshin Wizaard
Microsoft Office Professional	Maayikiroosoofti Ofiis Piroofeshinaalii
Microsoft Office Standard	Maayikiroosoofti Ofiis istaandaardii
Microsoft Powerpoint	maykirosofti paawor pooﾒeentii
Microsoft Privacy policy	imaammata matayyaa maaykiroosooftii 
Microsoft Product Support	deeggersa oomisha maaykiroosooftii
Microsoft Publisher	maykirosoofti paabiliisharii
Microsoft Script Editor	gulaalaa barruu maayikiroosooftii
Microsoft SQL Server database	kaadhimtaa kuusdeetaa kan Maaykiroosooftii SQL 
Microsoft Word	Maykirosoft Woordii
Middle	maqaa abbaa
MIME type	akaakuu MIME
Minicomputer	minikoompuuter
Minimize	gadeessi
Minimize button	qabduu gadeessi
minimum installation	ijaarsa gadee
minor gridlines	sarara tarsaa muraalaa
minus sign	mallaattoo hir'inaa
miscellaneous	walmakee
mix	maki
Mixed cell reference	wabii dhaaba walmakaa
mode	haalata
mode	haalata
model	ilaallata
modem	moodamii
modem	moodamii
modifier key	furtuu  fooyyii
modify	fooyyessi
module	muraa
monitor	torgii
Monochrome monitor	torgii halluu tokkee
Monochrome printer	maxxansaa halluu tokkee
More	dabala
More Colors	halluu dabali
More Details	babal'ina dabali
More Info	odeeffannooo dabali
More Windows	fooddaalee dabali
mountable file system	sirna faayilii fe'umsaa
mouse	hantuuttee
mouse button	qabduu hantuuttee
mouse click	cuqaasa hantuuttee
Mouse elbow	ciqilee hantuuttee
mouse pointer	qaree hantuuttee
Move	siqsi
move down	gadi siqsi
Move Up	ol siqsi
movie clip	muraa fiilmii
MS-DOS	MS-DOS
msqid	addiraa hiriira dhaamsa (adhdh)
Multi launching	hiriira walfaannee
Multicasting	dabarsa gargarsaa
Multilevel sort	foyiinsa sadarduu (sadarkaa +hedduu)
multilingual	afbaay'ee
multimedia	sabqunnamtii baay'ee
Multiple document interface (MDI)	walsima galmee hedduu(WGH)
multiple selection	filannoo hedduu
Multiscanning monitor	torgii helaalekaa(hedduu+ilaaluu)
multi-user environment	qeeyyaa fayyadamoo hedduu
multiuser state	haala fayyadama hedduu
mute	ukkaamsuu
My Computer	kompitara koo
My Documents	galmee koo
My Music	muuziqaa koo
My Network Places	iddoo saaphqunnamtii koo
My Pictures	fakkiilee koo
My Recent Documents	galmee koo dhiyoo
n/a	hinargamu 
name	maqaa
Name box	sanduuqa maqaa
Named	moggaafame
namespace	iddoo maqaa
Nanosecond (ns)	Naanoo Sekendii
native language	afaan dhalootaa
Native Language Support (NLS)	gargaarsa afaan dhalootaa(GADh)
navigate	naanna'i
Navigation	naanna'insa
Navigation Bar	kabala naanna'insaa
Navigation button	qabduu  naannayii
Navigation Pane	 daawitii naanna'insaa
negative indent	deebisa hi'eerta
Network	cimdaa
network administrator	bulchaa cimdaa
network administrator installation	ijaarsa bulchaa cimdaa
network connection	kornyoo cimdaa
network drive	ooftuu cimdaa
network location	iddoo cimdaa
Network printer	maxxansaa cimdaa
newline character	arfii sarara haaraa
news	oduu
News Message	dhaamsa oduu
newsgroup	gurmuu oduu
newsletter columns	tarjaa iftoomsaa
Newspaper columns	tarjaa galaalchaa
Next	itti aanee
Next Page	fuula itti aanaa
Nickname	maqaa masoo
NLS	gargaartuu afaan ababbii (GAA)
No	lakki
no wrap	hinmarin
node	guduunfaa
node name	maqaa guduunfaa
Noise	 waca
non-adjacent cells	maandhee adda hiixuu
non-breaking hyphen	murfoo hincinne
non-breaking space	iddoo duwwaalaa
None	homaa
Non-impact printer	maxxansaa biifoo
nonprinting character	arfii maxxansalaa
non-proportional font	bocquu gitaalaa 
Normal	baratamoo
normal view	mul'annoo baratamoo
Note	yaadannoo
Note Flag	alaabaa yaadannoo
Notebook computer	koompitara kooyaa
Notes	yaadannoo
Notify	yaadachiisuu
nudge	tuqiiqa
Null value	gadhabilee
NUM LOCK key	furtuu  LAK CUFII
Number	lakkoofsa
number sign	mallattoo lak
numbered list	tarree lak.
numeric keypad	furtuu lakkofsaa
object	wanta
Object code	lakkaddaa wantaa
object library	mana galmee wantaa 
Object Type	akaakuu wantaa
OCR	OCR
Octal	saddeettaa
OEM manufacturer	OMD (oomishtuu miﾒa duraa) 
Off	dhaamaa
office	waajjira
Office Assistant	gargaaraa waajjiraa
Office Clipboard	murgaa waajjiraa
Office Document	galmee waajjiraa
offline	karaala
offset	iddoodaa
OK	tole
OLAP	OLAP
Old password	iggita moofaa
OLE	OLE
OLE DB	OLE KD
OLE object	wanta OLE
OLE server	kaadimaa OLE
omit	dhiisi
On	banaa
On the Phone	bilbilaan
Online	karaarra
online service	tajaajila karaarraa
Online Support	deggarsa karaarraa
On-screen formatting	dhangii agartiirraa
Open	bani
open file description	ibsa faayilii baniinsaa
operating system	sirna dalagaa
operation	dalaga
operator	ogeejjii
Optical disk	baxxee ifaduu
Optical mouse	hantuutee ifaduu
optimize	guutola
Option	dirqala
option button	qabduu dirqalaa
option group	garee dirqalaa
optional	dirqalee
optional hyphen	murfoo dirqalee
ordinal number	lakkoofsa sadarkaa
organization chart	taattoo dhaabbataa
orientation	qaabachiisa
original	xabboo
originate	eegaltii
Other	kabiroo
Other Places	iddoolee
out of the office	waajjiraala
Out to Lunch	meegi
outbox	kergaa
outgoing message	dhaamsa bahe
outline	toorii
Outline font	bocquu toorii
output	bahaa
overlap	walirra
overlapping windows	fooddaalee walirraa
override	faccisuu
overstrike	sarirraa
overtype	irtabbii
Overwrite	irraba
owner	abbaa
ownership	abbummaa
pack	qarqabi
Pack and Go	qarqabbii deemi
package	qarqaba
Packages	qarqabaalee
page	fuula
page break	xumuura fuulaa
PAGE DOWN key	furtuu FUULGADEE
page field	dirree fuulaa
page header	irraantoo fuulaa
Page orientation	qaabachiisa fuulaa
Page printer	maxxansa fuulaa
Page Setup	qinda'ina fuulaa
PAGE UP key	Furtuu FUULOLEE
Page view	mul'annoo fuulaa
pagination	fuulessa
pagination	fuulakkuu
Paint program	sagantaa fakkaastuu (sagantaa fakkii kaastuu)
palette	DDF (Dhaaba Dibdoo Fakkii)
palette window	FDDF (Fooddaa Dhaaba Dibdoo Fakkii)
palmtop	qubganaa
pane	hirdaatii
panel	moggaargii
Pantone	halsimaa
paper	waraqaa
paper bin	baattoo waraqaa
paper format	dhangii waraqaa
paper jam	hudhama waraqaa
Paper Source	madda waraqaa
Paper-white monitor	agarsiistuu duubadii
paragraph	keewwata
paragraph break	xumuura keewwataa
paragraph formatting	dhangii keewwataa
paragraph mark	kudhangii keewwataa
parallel	walmaddii
parameter	ulaagaa
parent	haadhoo
parent directory	galeeloo haadhoo
parent folder	ukaankaa haadhoo 
parent web	saphaphuu haadhoo
parenthesis	golbee lakkuu
parity	qixeenya
partition	hirama
password	iggitaa 
password protection	hayyisa iggitaa
Paste	maxaansi
Paste Link	geessii maxansi
Paste Shortcut	qaxxamuraa maxxansaa
Paste Special	maxansa addaa
patch	erbaa
path	xurree
path name	maqaa xurree
path prefix	hudeelsoo xurree
pattern	sarxaa
PAUSE key	furtuu AFUURFANNOO
PC	KM (koompiitara matayyaa)
PCD	PCD
PCX	PCX
pen	kobbee
percent sign	mallattoo dhibbeentaa
Percentage	dhibbeentaa
performance	hujjeeffama
period	tuqaa
period	yeroo
permissions	hayyama
personal computer	koompiitara matayyaa
personal information	odeeffannoo matayyaa
Personal Name	maqaa matayyaa
phone book	baafata bilbilaa
phone number	lakkoofsa bilbilaa
photo album	kuusa suuraa
PIC 	lakkaddaa akkafeetee (LAF)
